topic,subtopic1,subtopic2,raw_ex_info,composer,raw_ex_title,raw_ex_mm,larger_work,generic_title,piece_title,catalog_no,movement,measure_start,measure_end,mp3,pdf
Scales,Minor Scales,Descending Major Scales,"Beethoven, 12 Variations on Handel's ""See, the Conqu'ring Hero Comes"", WoO 45, Var. 8, mm. 1-8",Beethoven,"12 Variations on Handel's ""See, the Conqu'ring Hero Comes"", WoO 45, Var. 8",mm. 1-8,,,"See, the Conqu'ring Hero Comes",WoO 45,,,,/musictheoryexamples/examples//ScO3.mp3,/musictheoryexamples/examples//ScO3.pdf
Scales,Minor Scales,Descending Major Scales,"Vieuxtemps, Violin Concerto no. 5 in a minor, op. 37, mm. 372-378",Vieuxtemps,"Violin Concerto no. 5 in a minor, op. 37",mm. 372-378,,,,op. 37,,,,/musictheoryexamples/examples//ScQ3.mp3,/musictheoryexamples/examples//ScQ3.pdf
Scales,Minor Scales,Descending Major Scales,"Lalo, Symphonie Espagnole, op. 21, mvt. 1, mm. 246-253",Lalo,"Symphonie Espagnole, op. 21, mvt. 1",mm. 246-253,,,,op. 21,mvt. 1,,,/musictheoryexamples/examples//ScS3.mp3,/musictheoryexamples/examples//ScS3.pdf
Scales,Minor Scales,Descending Major Scales,"Corelli, Concerto Grosso in F Major, op. 6 no. 6, mvt. 5, mm. 13-26",Corelli,"Concerto Grosso in F Major, op. 6 no. 6, mvt. 5",mm. 13-26,,,,op. 6,mvt. 5,,,/musictheoryexamples/examples//ScT3.mp3,/musictheoryexamples/examples//ScT3.pdf
Scales,Minor Scales,Descending Major Scales,"J. S. Bach, The Art of the Fugue, BWV 1080, no. 9, mm. 1-10",J. S. Bach,"The Art of the Fugue, BWV 1080, no. 9",mm. 1-10,,,,BWV 1080,,,,/musictheoryexamples/examples//ScU3.mp3,/musictheoryexamples/examples//ScU3.pdf
Scales,Minor Scales,Descending Major Scales,"J. S. Bach, Prelude and Fugue in e minor, BWV 900, mm. 15-18",J. S. Bach,"Prelude and Fugue in e minor, BWV 900",mm. 15-18,,,,BWV 900,,,,/musictheoryexamples/examples//ScV3.mp3,/musictheoryexamples/examples//ScV3.pdf
Scales,Minor Scales,Descending Major Scales,"Handel, Keyboard Suite no. 7 in g minor, HWV 432, Passacaille, mm. 33-41",Handel,"Keyboard Suite no. 7 in g minor, HWV 432, Passacaille",mm. 33-41,,,,HWV 432,,,,/musictheoryexamples/examples//ScW3.mp3,/musictheoryexamples/examples//ScW3.pdf
Scales,Minor Scales,Descending Major Scales,"Mozart, Requiem, K. 626, Rex tremendae, mm. 1-5",Mozart,"Requiem, K. 626, Rex tremendae",mm. 1-5,,,,K. 626,,,,/musictheoryexamples/examples//ScX3.mp3,/musictheoryexamples/examples//ScX3.pdf
Scales,Minor Scales,Descending Major Scales,"Grieg, Holberg Suite, op. 40, mvt. 4, mm. 52-56",Grieg,"Holberg Suite, op. 40, mvt. 4",mm. 52-56,,,,op. 40,mvt. 4,,,/musictheoryexamples/examples//ScY3.mp3,/musictheoryexamples/examples//ScY3.pdf
Scales,Minor Scales,Descending Major Scales,"J. S. Bach, Chorale no. 100 (""Durch Adams Fall ist ganz verderbt""), mm. 1-4",J. S. Bach,"Chorale no. 100 (""Durch Adams Fall ist ganz verderbt"")",mm. 1-4,,,Durch Adams Fall ist ganz verderbt,,,,,/musictheoryexamples/examples//ScZ3.mp3,/musictheoryexamples/examples//ScZ3.pdf
Scales,Minor Scales,Descending Major Scales,"J. S. Bach, Well-Tempered Clavier, Book I, Fugue in g minor, BWV 861, mm. 28-34",J. S. Bach,"Well-Tempered Clavier, Book I, Fugue in g minor, BWV 861",mm. 28-34,,,,BWV 861,,,,/musictheoryexamples/examples//ScA4.mp3,/musictheoryexamples/examples//ScA4.pdf
